Duration,Protocol,Service,Flag,Src_Bytes,Dst_Bytes,Count,Srv_Count,Serror_Rate,Rerror_Rate,Same_Srv_Rate,Diff_Srv_Rate,IP_Address,Timestamp,Attack_Type,Label
102,UDP,FTP,RSTR,9335,141,299,42,0.8699509439164191,0.6664191957654461,0.8868796784711304,0.5717838720973092,192.168.1.181,2024-01-01 00:00:00,R2L,1
435,UDP,FTP,RSTR,5856,1717,338,73,0.5592028846502348,0.7909803430551121,0.14170452078375384,0.44734374440572056,192.168.1.188,2024-01-01 00:00:01,R2L,1
860,ICMP,HTTP,RSTR,6209,7313,302,241,0.8873021057555099,0.412525644518723,0.493630770129704,0.6796755617894944,192.168.1.39,2024-01-01 00:00:02,Probe,1
270,ICMP,FTP,SF,3577,5714,379,480,0.4128880298653581,0.5003717699093277,0.025667482741299263,0.9824970298622098,192.168.1.55,2024-01-01 00:00:03,U2R,1
106,UDP,FTP,SF,8380,399,79,48,0.3439276965520779,0.04699638330284939,0.2818596077785269,0.36101540361572215,192.168.1.224,2024-01-01 00:00:04,U2R,1
71,TCP,FTP,RSTR,4076,4763,75,367,0.5062029972661082,0.28064639140881575,0.8118728380197416,0.616713496339963,192.168.1.158,2024-01-01 00:00:05,U2R,1
700,ICMP,FTP,REJ,157,9714,275,363,0.06149167120290955,0.368012409233316,0.9751406056798183,0.8644069265335954,192.168.1.71,2024-01-01 00:00:06,R2L,1
20,TCP,FTP,S0,7777,9526,401,315,0.15420077120932119,0.6254702254193297,0.9133232564076997,0.09292663355091069,192.168.1.217,2024-01-01 00:00:07,Probe,1
614,ICMP,DNS,REJ,2717,6255,437,221,0.21952163572631733,0.4642112847939034,0.04258036980119906,0.8002460612674462,192.168.1.130,2024-01-01 00:00:08,Probe,1
121,TCP,FTP,SF,8437,238,267,349,0.8166772826864619,0.6078382624232994,0.9267305251184002,0.23942497073030322,192.168.1.8,2024-01-01 00:00:09,U2R,1
466,TCP,SSH,S0,2795,3215,111,143,0.7337987569107608,0.7133273345138818,0.8226481768445405,0.5402760185908376,192.168.1.114,2024-01-01 00:00:10,DoS,1
214,TCP,HTTP,RSTR,7200,7541,408,328,0.1933072787839436,0.04271866766767052,0.8677025167507348,0.991501438534984,192.168.1.63,2024-01-01 00:00:11,U2R,1
330,UDP,DNS,REJ,7528,3647,315,208,0.2767475643735259,0.2582777470036145,0.914826775285687,0.9840520787682601,192.168.1.187,2024-01-01 00:00:12,R2L,1
458,TCP,DNS,REJ,2377,5408,499,98,0.9442618634671276,0.17090387254473238,0.4881799175472844,0.3157976394815949,192.168.1.97,2024-01-01 00:00:13,DoS,1
87,TCP,FTP,RSTR,9041,9808,74,187,0.08580296222602413,0.18745511917097124,0.21121829376043533,0.1317629561639666,192.168.1.156,2024-01-01 00:00:14,Probe,1
372,TCP,HTTP,REJ,1810,6340,213,113,0.5474550981480601,0.5031253956319915,0.021024086872916903,0.9381850367628943,192.168.1.74,2024-01-01 00:00:15,Normal,0
99,ICMP,SSH,SF,5190,2429,499,174,0.522006992014499,0.7399787764999253,0.023548270713650066,0.8935294349989268,192.168.1.166,2024-01-01 00:00:16,DoS,1
871,TCP,FTP,RSTR,5432,3652,365,270,0.7257078171576892,0.27277703392537733,0.6425114228240731,0.6160318962374175,192.168.1.18,2024-01-01 00:00:17,Probe,1
663,ICMP,HTTP,REJ,7895,9913,33,62,0.26143537635350256,0.8244492381357122,0.33728008930387954,0.03241038883752334,192.168.1.190,2024-01-01 00:00:18,DoS,1
130,TCP,FTP,RSTR,2126,6307,140,495,0.934772650797905,0.8924565172085739,0.4958966523296857,0.7512803240918929,192.168.1.205,2024-01-01 00:00:19,U2R,1
661,TCP,FTP,S0,6953,9464,493,283,0.41058288162869494,0.35053387202035236,0.1313351770760678,0.1608552132414014,192.168.1.213,2024-01-01 00:00:20,DoS,1
